"rank_a","cod_pais","medalha_ouro","medalha_prata","medalha_bronze","medalhas_total","rank_total"
"1","CHN","96","60","51","207","1"
"2","GBR","41","38","45","124","2"
"3","USA","37","36","31","104","4"
"4","RPC","36","33","49","118","3"
"5","NED","25","17","17","59","9"
"6","UKR","24","47","27","98","5"
"7","BRA","22","20","30","72","7"
"8","AUS","21","29","30","80","6"
"9","ITA","14","29","26","69","8"
"10","AZE","14","1","4","19","20"
"11","JPN","13","15","23","51","11"
"12","GER","13","12","18","43","12"
"13","IRI","12","11","1","24","15"
"14","FRA","11","15","28","54","10"
"15","ESP","9","15","12","36","13"
"16","UZB","8","5","6","19","20"
"17","POL","7","6","12","25","14"
"18","HUN","7","5","4","16","24"
"19","SUI","7","4","3","14","27"
"20","MEX","7","2","13","22","18"
"21","NZL","6","3","3","12","28"
"22","ISR","6","2","1","9","35"
"23","CAN","5","10","6","21","19"
"24","IND","5","8","6","19","20"
"25","THA","5","5","8","18","23"
"26","SVK","5","2","4","11","30"
"27","BLR","5","1","1","7","41"
"28","TUN","4","5","2","11","30"
"29","ALG","4","4","4","12","28"
"30","MAR","4","4","3","11","30"
"31","BEL","4","3","8","15","25"
"32","IRL","4","2","1","7","41"
"33","NGR","4","1","5","10","34"
"34","RSA","4","1","2","7","41"
"35","CUB","4","1","1","6","47"
"36","JOR","4","0","1","5","50"
"37","COL","3","7","14","24","15"
"38","VEN","3","2","2","7","41"
"39","MAS","3","2","0","5","50"
"40","DEN","3","1","1","5","50"
"41","KOR","2","10","12","24","15"
"42","TUR","2","4","9","15","25"
"43","INA","2","3","4","9","35"
"44","CZE","2","3","3","8","39"
"45","CHI","2","3","1","6","47"
"46","SRB","2","3","1","6","47"
"47","NOR","2","0","2","4","57"
"48","SGP","2","0","0","2","63"
"49","AUT","1","5","3","9","35"
"50","SWE","1","5","2","8","39"
"51","GRE","1","3","7","11","30"
"52","FIN","1","3","1","5","50"
"53","KAZ","1","3","1","5","50"
"54","UAE","1","1","1","3","58"
"55","CRC","1","1","0","2","63"
"56","ECU","1","0","2","3","58"
"57","CYP","1","0","1","2","63"
"58","SRI","1","0","1","2","63"
"59","ETH","1","0","0","1","73"
"60","MGL","1","0","0","1","73"
"61","PAK","1","0","0","1","73"
"62","PER","1","0","0","1","73"
"63","ARG","0","5","4","9","35"
"64","EGY","0","5","2","7","41"
"65","CRO","0","3","4","7","41"
"66","LAT","0","3","2","5","50"
"67","GEO","0","3","0","3","58"
"68","HKG","0","2","3","5","50"
"69","BUL","0","2","0","2","63"
"70","IRQ","0","1","2","3","58"
"71","KUW","0","1","1","2","63"
"72","NAM","0","1","1","2","63"
"73","ROU","0","1","1","2","63"
"74","SLO","0","1","1","2","63"
"75","VIE","0","1","0","1","73"
"76","LTU","0","0","3","3","58"
"77","POR","0","0","2","2","63"
"78","BIH","0","0","1","1","73"
"79","ESA","0","0","1","1","73"
"80","KEN","0","0","1","1","73"
"81","KSA","0","0","1","1","73"
"82","MNE","0","0","1","1","73"
"83","OMA","0","0","1","1","73"
"84","QAT","0","0","1","1","73"
"85","TPE","0","0","1","1","73"
"86","UGA","0","0","1","1","73"
