"cod_treinador","nome_treinador","cod_pais","cod_desporto"
"1","AGHAKOUCHEKI Abbas","IRI","WBK"
"2","AKIN Ahmet","TUR","WBK"
"3","AKPWEH Toussaint","FRA","FB5"
"4","ARIMA Masato","JPN","WBK"
"5","BAN Nicole","CAN","VBS"
"6","BARGUEIRAS MARTINEZ Jesus David","ESP","FB5"
"7","BHANIA Haj","GBR","WBK"
"8","BOUTIBA Saad","ALG","GBL"
"9","BRAHIMI Mustapha","ALG","WBK"
"10","CARRION RUIZ Abraham","ESP","WBK"
"11","CHEN Qi","CHN","WBK"
"12","CHOUDHRY Gaz","GBR","WBK"
"13","CORR Peter","AUS","GBL"
"14","COTE Patrick","CAN","WRU"
"15","CUSIN Olivier","FRA","WRU"
"16","CZECHOWSKI Jake","USA","GBL"
"17","de RICK Johan","BEL","GBL"
"18","DEMONTE Martin","ARG","FB5"
"19","DO NASCIMENTO CARDOSO Ana Lucia","COL","WBK"
"20","DUBBERLEY Brad","AUS","WRU"
"21","DUBROVIN Anton","UKR","GBL"
"22","DUBROVIN Fedir","UKR","GBL"
"23","DUCHARME Marc Antoine","CAN","WBK"
"24","EDRIS Gharib","EGY","VBS"
"25","EL MOUNTAQI Driss","MAR","FB5"
"26","ELAIUTY Mosaad","EGY","VBS"
"27","ELIA GIMENO Raul","ESP","WBK"
"28","ELTAYEB Hani","EGY","GBL"
"29","FAREBROTHER Trent","CAN","GBL"
"30","FERIANI Matteo","CAN","WBK"
"31","FISHER Simon","GBR","WBK"
"32","FREITAS DO NASCIMENTO Dailton","BRA","GBL"
"33","FRIDAY Craig","AUS","WBK"
"34","FRIDAY Craig","AUS","WBK"
"35","FURNESS Shane","AUS","WBK"
"36","GECEVICIUS Valdas","LTU","GBL"
"37","GUEDES DANTAS Jose","BRA","VBS"
"38","GUENTHER Johannes","GER","GBL"
"39","GUMBERT James","USA","WRU"
"40","HAMITER William","USA","VBS"
"41","HRUSTEMOVIC Mirza","BIH","VBS"
"42","ICHIKAWA Kyoichi","JPN","GBL"
"43","IWASA Yoshiaki","JPN","WBK"
"44","JOHNSON Lawrence","USA","WBK"
"45","KARASU Gultekin","TUR","GBL"
"46","KIM Hyun Woo","KOR","WBK"
"47","KO Kwangyub","KOR","WBK"
"48","KO Kwangyub","KOR","WBK"
"49","KONGDANPRAI Kongkiat","THA","FB5"
"50","KRYVENKO Kseniia","UKR","VBS"
"51","KUBO Yoshihiro","JPN","VBS"
"52","KUDO Rikiya","JPN","GBL"
"53","KYOYA Kazuyuki","JPN","WBK"
"54","LAWRENCE Matt","GBR","GBL"
"55","LAWRENCE Matt","GBR","WBK"
"56","LYKINS Ron","USA","WBK"
"57","MANO Yoshihisa","JPN","VBS"
"58","MEDIATO Celio","BRA","VBS"
"59","MERTEN Michael","GER","VBS"
"60","MIKAMI Yukako","JPN","GBL"
"61","MITCHELL Greg","NZL","WRU"
"62","NABIEV Ilkam","RPC","GBL"
"63","NOHL Dennis","GER","WBK"
"64","NSENGIYUMVA Jean Marie","RWA","VBS"
"65","ORR Kevin","JPN","WRU"
"66","OVSYANNIKOV Aleksandr","RPC","VBS"
"67","OVSYANNIKOV Aleksandr","RPC","VBS"
"68","PASCIARI Guido","ITA","VBS"
"69","PISKOVA Yuliia","UKR","VBS"
"70","RADMORE Colin","GBR","GBL"
"71","RADMORE Colin","GBR","WBK"
"72","REGIER Jason","DEN","WRU"
"73","RENCBER Salih","TUR","GBL"
"74","REZAEI Hadi","IRI","VBS"
"75","RIBEIRO Amauri","ITA","VBS"
"76","RIBEIRO de VASCONCELOS Fabio","BRA","FB5"
"77","SHAW Paul","GBR","WRU"
"78","SHOHAM Raz","ISR","GBL"
"79","TAGHICHE Ahmed","ALG","WBK"
"80","TAKADA Satoshi","JPN","FB5"
"81","TANG Qun","CHN","GBL"
"82","TAPIA LOPEZ Genoveva","ESP","WBK"
"83","TOSIM Alessandro","BRA","GBL"
"84","TRIGO DIEZ Oscar","ESP","WBK"
"85","van der LINDEN Gertjan","NED","WBK"
"86","XU Huimin","CHN","VBS"
"87","XU Yufei","CHN","FB5"
"88","YE Jing","CHN","VBS"
"89","YIN Shiqiang","CHN","GBL"
"90","YOUNG Keith","USA","GBL"
"91","ZELTINGER Nicolai","GER","WBK"
